Cultivo;grupoCultivo;areaSembradaHa;produccionTon;rendimientoTonHa;grupoCultivoOrd;EstadoFinalOrd;PeriodoOrd;CicloOrd;CultivoFre
Maíz;Cereales;230.0;400.0;2.0;5;1;1;0;1624
Maíz;Cereales;10.0;16.2;1.8;5;1;1;0;1624
Arveja;Leguminosas;12.0;16.82;1.87;3;2;1;0;1173
Frijol;Leguminosas;15.0;26.0;2.0;3;1;1;0;1090
Haba;Leguminosas;3.0;1.33;0.44;3;1;1;0;215
Caña;Cultivos Tropicales Tradicionales;2975.5;148275.0;50.0;6;4;2;1;463
Maíz;Cereales;8.0;10.91;1.36;5;1;0;0;1624
Maíz;Cereales;3.0;3.36;1.12;5;1;0;0;1624
Maíz;Cereales;15.0;19.86;1.32;5;1;1;0;1624
Maíz;Cereales;4.0;1.4;0.7;5;1;1;0;1624
Maíz;Cereales;2.0;2.52;1.26;5;1;1;0;1624
Maíz;Cereales;4.0;1.68;0.84;5;1;1;0;1624
Cacao;Cultivos Tropicales Tradicionales;201.0;120.0;0.6;6;1;2;1;217
Café;Cultivos Tropicales Tradicionales;1300.71;950.16;0.91;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;1007.0;40200.0;40.0;6;4;2;1;463
Maíz;Cereales;50.0;71.5;2.0;5;1;0;0;1624
Maíz;Cereales;15.0;30.0;2.1;5;1;0;0;1624
Frijol;Leguminosas;12.0;15.0;1.67;3;1;0;0;1090
Maíz;Cereales;25.0;50.0;2.0;5;1;1;0;1624
Frijol;Leguminosas;20.0;40.0;2.0;3;1;1;0;1090
Café;Cultivos Tropicales Tradicionales;912.83;1131.41;1.36;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;476.0;28380.0;60.0;6;4;2;1;463
Maíz;Cereales;6.0;3.36;0.56;5;1;0;0;1624
Arveja;Leguminosas;6.0;12.0;2.0;3;2;0;0;1173
Frijol;Leguminosas;8.0;8.0;1.0;3;1;0;0;1090
Frijol;Leguminosas;5.0;6.99;1.4;3;1;1;0;1090
Café;Cultivos Tropicales Tradicionales;133.68;141.03;1.18;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;115.0;4025.0;35.0;6;4;2;1;463
Fique;Cultivos Tropicales Tradicionales;1.5;2.0;1.33;6;6;2;1;16
Maíz;Cereales;15.0;40.0;2.67;5;1;0;0;1624
Maíz;Cereales;5.0;13.5;2.7;5;1;0;0;1624
Arveja;Leguminosas;1.0;1.4;1.4;3;2;0;0;1173
Frijol;Leguminosas;10.0;18.88;1.89;3;1;0;0;1090
Maíz;Cereales;10.0;20.0;2.0;5;1;1;0;1624
Maíz;Cereales;10.0;22.0;2.2;5;1;1;0;1624
Arveja;Leguminosas;2.5;6.0;2.4;3;2;1;0;1173
Frijol;Leguminosas;18.0;36.0;2.0;3;1;1;0;1090
Maíz;Cereales;45.0;40.27;0.89;5;1;0;0;1624
Maíz;Cereales;19.0;18.63;1.03;5;1;0;0;1624
Arveja;Leguminosas;40.0;71.03;1.87;3;2;0;0;1173
Arveja;Leguminosas;100.0;309.35;3.09;3;2;1;0;1173
Cacao;Cultivos Tropicales Tradicionales;4.0;1.8;0.6;6;1;2;1;217
Café;Cultivos Tropicales Tradicionales;139.81;125.14;1.0;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;1806.0;110600.0;70.0;6;4;2;1;463
Maíz;Cereales;171.0;138.43;0.84;5;1;0;0;1624
Maíz;Cereales;70.0;134.0;2.0;5;1;0;0;1624
Arveja;Leguminosas;2.5;2.8;1.4;3;2;0;0;1173
Frijol;Leguminosas;10.0;18.88;2.1;3;1;0;0;1090
Maíz;Cereales;76.0;60.41;0.84;5;1;1;0;1624
Maíz;Cereales;70.0;130.0;2.0;5;1;1;0;1624
Frijol;Leguminosas;10.0;11.19;1.4;3;1;1;0;1090
Cacao;Cultivos Tropicales Tradicionales;320.0;152.5;0.5;6;1;2;1;217
Café;Cultivos Tropicales Tradicionales;2847.17;2147.67;0.91;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;15.0;750.0;50.0;6;4;2;1;463
Maíz;Cereales;250.0;375.0;1.5;5;1;0;0;1624
Maíz;Cereales;100.0;150.0;1.5;5;1;0;0;1624
Maíz;Cereales;175.0;262.5;1.5;5;1;1;0;1624
Maíz;Cereales;170.0;255.0;1.5;5;1;1;0;1624
Cacao;Cultivos Tropicales Tradicionales;3051.0;1500.6;0.6;6;1;2;1;217
Café;Cultivos Tropicales Tradicionales;595.59;529.22;1.03;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;1306.0;58145.5;44.9;6;4;2;1;463
Maíz;Cereales;335.0;1350.3;4.09;5;1;0;0;1624
Maíz;Cereales;198.0;287.0;1.5;5;1;0;0;1624
Maíz;Cereales;160.0;646.3;4.09;5;1;0;0;1624
Maíz;Cereales;75.0;26.0;1.86;5;1;0;0;1624
Frijol;Leguminosas;18.0;40.14;2.23;3;1;0;0;1090
Maíz;Cereales;338.0;1395.8;4.17;5;1;1;0;1624
Maíz;Cereales;140.0;158.0;1.14;5;1;1;0;1624
Maíz;Cereales;62.0;246.8;4.18;5;1;1;0;1624
Maíz;Cereales;131.0;196.0;1.51;5;1;1;0;1624
Frijol;Leguminosas;29.0;60.14;2.23;3;1;1;0;1090
Café;Cultivos Tropicales Tradicionales;98.86;81.4;0.91;6;3;2;1;474
Maíz;Cereales;12.0;16.5;1.5;5;1;0;0;1624
Maíz;Cereales;7.0;8.4;1.4;5;1;0;0;1624
Arveja;Leguminosas;18.0;19.1;1.27;3;2;0;0;1173
Frijol;Leguminosas;32.0;55.0;1.96;3;1;0;0;1090
Maíz;Cereales;12.95;15.0;1.5;5;1;1;0;1624
Maíz;Cereales;12.1;14.0;1.4;5;1;1;0;1624
Arveja;Leguminosas;30.0;37.7;1.3;3;2;1;0;1173
Frijol;Leguminosas;45.0;79.8;1.9;3;1;1;0;1090
Maíz;Cereales;20.0;60.0;3.0;5;1;0;0;1624
Arveja;Leguminosas;18.0;45.0;2.5;3;2;0;0;1173
Maíz;Cereales;18.0;15.1;0.84;5;1;1;0;1624
Arveja;Leguminosas;30.0;42.06;1.4;3;2;1;0;1173
Arveja;Leguminosas;35.0;65.42;1.87;3;2;0;0;1173
Arveja;Leguminosas;230.0;392.52;1.87;3;2;1;0;1173
Café;Cultivos Tropicales Tradicionales;72.67;81.11;1.15;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;62.0;15128.0;244.0;6;4;2;1;463
Maíz;Cereales;50.0;0.0;0.0;5;1;0;0;1624
Arveja;Leguminosas;5.0;7.5;1.5;3;2;1;0;1173
Frijol;Leguminosas;60.0;66.0;1.1;3;1;1;0;1090
Café;Cultivos Tropicales Tradicionales;79.5;2.75;0.55;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;62.0;1919.94;32.0;6;4;2;1;463
Arveja;Leguminosas;15.0;9.5;1.58;3;2;0;0;1173
